PRODUCT_KEY,PRODUCT_NUMBER,EDP_CODE,DESCRIPTION,SUBTYPE_CODE,SUBTYPE_DESC,TYPE_CODE,TYPE_DESC,LINE_CODE,LINE_DESC,ACTIVE_FLAG,EFF_FM_DT,EFF_TO_DT
836,1065360,65AA88091KC,TONER DENSITY SENSOR,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
837,1065388,6LA51194000,ASM-DEV-MCK314,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
838,11292,414115,PRT ENHANCE OPTION TYPE 3350,2000,PRINT CONTROLLER,4111203,CONTROLLER,120,B/W MFP,Y,29-05-2019,31-12-9999
839,1065389,6LA51371000,POL-MOT-F310-S,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
840,11294,339495,FACSIMILE TRANSCEIVER,FP_IN,FAX PLAIN PAPER INKJET/BUBBLEJET,4111101,MACHINE,510,FACSIMILE,Y,29-05-2019,31-12-9999
841,1065411,65AA9052EKC,CONVEYANCE DRV BOARD ASSLY,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
842,11304,888447,PRINT CARTRIDGE TYPE 260 YLW,3000,TONER,4111401,SUPPLY,220,COLOUR PRINTER,Y,29-05-2019,31-12-9999
843,1065473,6LA56494100,FUSER 1600-240,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
844,11314,400792,DT36BLKRRAI Toner Cart.723gr,3000,TONER,4111401,SUPPLY,210,B/W PRINTER,Y,29-05-2019,31-12-9999
845,1065487,6LA55227000,COVER-EXIT,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
846,11319,999700,AT-C1a black toner sample,3099,OTHER SUPPLY,4111401,SUPPLY,140,COLOUR MFP,Y,29-05-2019,31-12-9999
847,1065506,6LA55571000,ASY-F-MEM-STD-F250,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
848,11350,16280,IRC3100 BAC RECUP TONER,3099,OTHER SUPPLY,4111401,SUPPLY,120,B/W MFP,Y,29-05-2019,31-12-9999
849,1065511,6LA55706200,PU1610E,4006,NON RICOH,4111501,PART,120,B/W MFP,Y,29-05-2019,31-12-9999
