ITEM_ID,EDP_CODE,DESCRIPTION,PROD_SUB_TYPE_CODE,PROD_TYPE_CODE,PROD_LINE_CODE,PROD_SUB_TYPE_DESC,PROD_TYPE_DESC,PROD_LINE_DESC
103,NUK2345Z,2344Z MITA COPIER,BW_04,4111101,110,B&W COPIER 60-89 CPM,MACHINE,ANALOGUE COPIER
105,NUK885313,LANIER PLEASE USE CT116BLK,3000,4111401,120,TONER,SUPPLY,B/W MFP
110,NUKB0474114,SEE B0471114,4099,4111501,120,OTHER PART,PART,B/W MFP
111,NUKB390148,"C7780C HP DESIGNJET 800PSEN 96MB 42""",BW_01,4111101,110,B&W COPIER 1-19 CPM,MACHINE,ANALOGUE COPIER
113,NUK127067,127067 4 / 5 PORT SWITCH,3099,4111401,120,OTHER SUPPLY,SUPPLY,B/W MFP
114,NUK4800039,DEV 5455/5470 REFER TO A2929640,3000,4111401,120,TONER,SUPPLY,B/W MFP
116,NUK72620200,*SEE BOX 204*HEAT ROLLER 2115/2217,4099,4111501,120,OTHER PART,PART,B/W MFP
120,NUKAC1035,DWP AFICIO 1035 AC1035,BW_02,4111101,120,B&W COPIER 20-39 CPM,MACHINE,B/W MFP
122,NUKB390170,C4952A HP 81 MAGENTA CLNR PRINTHEAD,3099,4111401,210,OTHER SUPPLY,SUPPLY,B/W PRINTER
123,NUK930495,RP3700 CRIMSON RISO INK,3006,4111401,410,INK,SUPPLY,DIGITAL DUPLICATOR
124,NUK5625,LANIER 5625 COLOUR COP CCR061,CL_61,4111101,140,COLOR COPIER 1-19 CPM,MACHINE,COLOUR MFP
1002,NUK6625,LANIER 6625 COPIER TOSHIBA 2540,BW_01,4111101,110,B&W COPIER 1-19 CPM,MACHINE,ANALOGUE COPIER
1005,NUKGX3050,PLEASE USE GX3050N,4099,4111501,120,OTHER PART,PART,B/W MFP
1007,NUKBRRRHVFR,REX ROTARY GBC STEAMPUNCH PK25,4099,4111501,120,OTHER PART,PART,B/W MFP
1011,NUK289914,289914 EXTRA WORKSTATION LIC SUPPORT,3099,4111401,120,OTHER SUPPLY,SUPPLY,B/W MFP
1012,NUKBS2ST2GRN,"S2 2"" GREEN VELOBIND STRIPS 51x297",4099,4111501,120,OTHER PART,PART,B/W MFP
1013,NUK284310,TETRIS CASH MANAGER MAX 6 PAYCONS,3099,4111401,120,OTHER SUPPLY,SUPPLY,B/W MFP
1016,NIE02077,"8.6"" X 4.25 MANILLA ENV ( 500)",4099,4111501,120,OTHER PART,PART,B/W MFP
1019,NUKCMRA07,CMRA07 A0 57A0 COPIER 230V *EXPORT,BW_01,4111101,110,B&W COPIER 1-19 CPM,MACHINE,ANALOGUE COPIER
1023,NUKCOL14,14 STATION COLLATOR A3 **EXPORT,OTHER,4111101,110,OTHER MACHINE,MACHINE,ANALOGUE COPIER
1024,NUKCL001E1050001,PLANET PRESS CARE PRINT LIC 1-50PPM,4099,4111501,120,OTHER PART,PART,B/W MFP
1025,NUKCMR080A,CMR080A 2808 COPIER *EXPORT ONLY,BW_01,4111101,110,B&W COPIER 1-19 CPM,MACHINE,ANALOGUE COPIER
1027,NUK423C,XEROX 423C COPIER,BW_01,4111101,110,B&W COPIER 1-19 CPM,MACHINE,ANALOGUE COPIER
1028,NUKCI000E1050001,PLANET PRESS CARE PLANETPRESS IMAGE,4099,4111501,120,OTHER PART,PART,B/W MFP
1029,NUKCK-72,CAR KIT - MPC2500/3000 MPC3500/4500,4099,4111501,120,OTHER PART,PART,B/W MFP
1030,NUKCLC350,CANON CLC350 COLOUR COPIER,BW_01,4111101,110,B&W COPIER 1-19 CPM,MACHINE,ANALOGUE COPIER
1031,NUKNEFAX 2,# NEC NEFAX 2 THERMAL FAX MACHINE,FP_TO,4111101,510,FAX PLAIN PAPER TONER PRINTING,MACHINE,FACSIMILE
1033,NIEQ5569B,HP7410 HP OFFICE JET,4099,4111501,120,OTHER PART,PART,B/W MFP
1034,NIEKF01133,MULTI PURPOSE 24 PER SHEET BUTT P100,4099,4111501,120,OTHER PART,PART,B/W MFP
1035,NIEBX420010,BANTEX HEAVY DUTY CLIP BOARD,4099,4111501,120,OTHER PART,PART,B/W MFP
1036,NIE3M93873,SCOTCH TAPE CLEAR 25M X 66M PKT 6,4099,4111501,120,OTHER PART,PART,B/W MFP
1037,NIEKFYPM08,YEAR PLANNER MOUNTED 08,4099,4111501,120,OTHER PART,PART,B/W MFP
1038,NIE400262,PKT (200) A/4 FR-BLUE BOARDS,4099,4111501,120,OTHER PART,PART,B/W MFP
1039,NIE400173,PKT (200) A/4 PL-GREEN BOARDS,4099,4111501,120,OTHER PART,PART,B/W MFP
1040,NIE3M70755,POST IT INDEX 25MM,4099,4111501,120,OTHER PART,PART,B/W MFP
1044,NUKBT CF55 FAX,# BRITISH TELECOM CF55 THERMAL FAX,FP_TO,4111101,510,FAX PLAIN PAPER TONER PRINTING,MACHINE,FACSIMILE
1046,NUKCLC900,CANON CLC900 COLOUR COPIER,BW_01,4111101,110,B&W COPIER 1-19 CPM,MACHINE,ANALOGUE COPIER
1047,NUKCMRA08A,CMRA08A NASH 581AO AO COPIER *EXPORT,BW_01,4111101,110,B&W COPIER 1-19 CPM,MACHINE,ANALOGUE COPIER
1048,NUKCD113CYN,REFER TO A2579660,4099,4111501,120,OTHER PART,PART,B/W MFP
1049,NUKDEST OCR,DEST OCR IMAGE SCANNER,4099,4111501,120,OTHER PART,PART,B/W MFP
1050,NUKM4115,4115 COPIER,BW_01,4111101,110,B&W COPIER 1-19 CPM,MACHINE,ANALOGUE COPIER
1052,NUKMURATA F50,# MURATA F50 THERMAL FAX MACHINE,FP_TO,4111101,510,FAX PLAIN PAPER TONER PRINTING,MACHINE,FACSIMILE
1053,NUKNEFAX 415M,# NEFAX 415M PLAIN PAPER FAX MACHINE,FP_TO,4111101,510,FAX PLAIN PAPER TONER PRINTING,MACHINE,FACSIMILE
1055,NUKPANASONIC UF260,# PANASONIC UF260 THERMAL FAX M/C,FP_TO,4111101,510,FAX PLAIN PAPER TONER PRINTING,MACHINE,FACSIMILE
1057,NUKFT4222,DWP RICOH 4222 FT4222,BW_02,4111101,110,B&W COPIER 20-39 CPM,MACHINE,ANALOGUE COPIER
1061,NUKDSC424EA,DSC424 EASY ACCESS COPIER,CL_62,4111101,130,COLOR COPIER 20-39 CPM,MACHINE,B TO C MFP
1062,NUKFAX6500,INFOTEC 6500 FAX MACHINE,FP_TO,4111101,510,FAX PLAIN PAPER TONER PRINTING,MACHINE,FACSIMILE
1063,NUKDSM730EAB,DSM730 EASY ACCESS WITH BOOKMASTER,BW_02,4111101,120,B&W COPIER 20-39 CPM,MACHINE,B/W MFP
1064,NUKFAX110,FAX110 FACSIMILE M/C,FP_TO,4111101,510,FAX PLAIN PAPER TONER PRINTING,MACHINE,FACSIMILE
1065,NUKHARRIS/3M 2127,# HARRIS/3M LANIER 2127 THERMAL FAX,FP_TO,4111101,510,FAX PLAIN PAPER TONER PRINTING,MACHINE,FACSIMILE
1066,NUKGX3000PDI,GX3000 GELSPRINTER PDI,4099,4111501,120,OTHER PART,PART,B/W MFP
1068,NUKK4045,KONICA K4045 COPIER,BW_03,4111101,110,B&W COPIER 40-59 CPM,MACHINE,ANALOGUE COPIER
1069,NUKK4155,KONICA K4155 COPIER,BW_04,4111101,110,B&W COPIER 60-89 CPM,MACHINE,ANALOGUE COPIER
1070,NUKITT 3531,# ITT 3531 THERMAL FAX MACHINE,FP_TO,4111101,510,FAX PLAIN PAPER TONER PRINTING,MACHINE,FACSIMILE
1071,NUKM1215,1215 COPIER,BW_01,4111101,110,B&W COPIER 1-19 CPM,MACHINE,ANALOGUE COPIER
1072,NUKM1290DF,1290DF COPIER,BW_01,4111101,110,B&W COPIER 1-19 CPM,MACHINE,ANALOGUE COPIER
1073,NUKLR135A,000-1535 RECYC 5635 PS360 PCL,BW_02,4111102,120,B&W COPIER 20-39 CPM,MACHINE REFURBISHED,B/W MFP
1074,NUKLR145B,PLEASE USE LR145A PLUS SORTER,BW_03,4111102,120,B&W COPIER 40-59 CPM,MACHINE REFURBISHED,B/W MFP
1075,NUKRSR820,RECYCLED SR820 FINISHER,1010,4111202,120,FINISHER,OPTION REFURBISHED,B/W MFP
1078,NUKS511,S511 SORTER,4099,4111501,120,OTHER PART,PART,B/W MFP
1079,NUKZ560A/MB,Z560-EF PHASER 40MB Z560A/MB,BW_01,4111101,110,B&W COPIER 1-19 CPM,MACHINE,ANALOGUE COPIER
1080,NUKTA212RE,TRIUMPH ADLER 212RE,BW_01,4111101,110,B&W COPIER 1-19 CPM,MACHINE,ANALOGUE COPIER
1081,NUKTEKIISD,refer to 4684 / TEKIISDX,3099,4111401,220,OTHER SUPPLY,SUPPLY,COLOUR PRINTER
1082,NUKB390666,HP C5019A BLACK PRINTHEAD/ CLEANER,3099,4111401,210,OTHER SUPPLY,SUPPLY,B/W PRINTER
1083,NUKB390717,HP U3799A 3 YEAR ON SITE WARR DJ4200,3099,4111401,210,OTHER SUPPLY,SUPPLY,B/W PRINTER
1084,NIE201448,PRIMING CLEANING PADS,4099,4111501,120,OTHER PART,PART,B/W MFP
1085,NUKB390596,EXTENDED WARRANTY 3 YEARS HP100,3099,4111401,210,OTHER SUPPLY,SUPPLY,B/W PRINTER
1089,NUK1170063,LANIER PLEASE USE CSC760A,3005,4111401,110,STAPLE,SUPPLY,ANALOGUE COPIER
1090,NUK3905,BABS GUILLOTINE,OTHER,4111101,120,OTHER MACHINE,MACHINE,B/W MFP
1092,NUK4800028,LANIER PLEASE USE A2929640,4099,4111501,120,OTHER PART,PART,B/W MFP
1095,NUKB0045125R,REFER TO B0045125,4099,4111501,120,OTHER PART,PART,B/W MFP
1097,NUK027257,T HANDLE HEX SET,4099,4111501,120,OTHER PART,PART,B/W MFP
1098,NUK2161137,LANIER PLEASE USE ST33,3099,4111401,120,OTHER SUPPLY,SUPPLY,B/W MFP
1100,NUK411734,LANIER PLEASE USE CSC910,3005,4111401,110,STAPLE,SUPPLY,ANALOGUE COPIER
1101,NUK5621,XEROX 5621 COPIER,BW_01,4111101,110,B&W COPIER 1-19 CPM,MACHINE,ANALOGUE COPIER
1102,NUK3320PDI,FAX 3320L PDI,FP_TO,4111101,510,FAX PLAIN PAPER TONER PRINTING,MACHINE,FACSIMILE
1103,NUK80HICOPROG42,LCS PROGRAM CARD ACCESS CODE 42 UNIT,3099,4111401,110,OTHER SUPPLY,SUPPLY,ANALOGUE COPIER
1105,NUKAC4506,DWP AFICIO 4506 AC4506,CL_61,4111101,140,COLOR COPIER 1-19 CPM,MACHINE,COLOUR MFP
1107,NUK2320Z,2320ZR PLAIN PAPER COPIER,BW_01,4111101,110,B&W COPIER 1-19 CPM,MACHINE,ANALOGUE COPIER
1109,NUK857879,A4 200GSM REYPRINT COLOUR COPIER 250,3099,4111401,210,OTHER SUPPLY,SUPPLY,B/W PRINTER
1112,NUK9780477,CUTTING BLADE VB50 861B001G00,4099,4111501,120,OTHER PART,PART,B/W MFP
1115,NUKB390123,C6074B HP DESIGNJET 1050CEN 64MB A0,BW_01,4111101,110,B&W COPIER 1-19 CPM,MACHINE,ANALOGUE COPIER
1118,NUK4800012,LANIER PLEASE USE A1339640,4099,4111501,120,OTHER PART,PART,B/W MFP
1119,NUK5860CARDREADU,5860 CARD READER UNITS,3099,4111401,110,OTHER SUPPLY,SUPPLY,ANALOGUE COPIER
1120,NUK72120351GOR,HEAT ROLLER (K). 65420090 38012578,4099,4111501,120,OTHER PART,PART,B/W MFP
1121,NUK888256,REFER TO DT338YLW,3000,4111401,120,TONER,SUPPLY,B/W MFP
1123,NUK9781128,CONTROL PANEL PCB VB270 *,4099,4111501,120,OTHER PART,PART,B/W MFP
1124,NUKAC017,LANIER AC017 110V PRINTER DSM516,BW_01,4111101,120,B&W COPIER 1-19 CPM,MACHINE,B/W MFP
1125,NUKAPRICOT 15 VDU,APRICOT 15 INCH MONITOR,OTHER,4111101,110,OTHER MACHINE,MACHINE,ANALOGUE COPIER
1127,NUK930426,RISO GR3770 BLUE INK,3006,4111401,410,INK,SUPPLY,DIGITAL DUPLICATOR
1129,NUK5815,XEROX 5815 COPIER,BW_01,4111101,110,B&W COPIER 1-19 CPM,MACHINE,ANALOGUE COPIER
1130,NUK9781856,SWITCH PANEL BMV373M *,4099,4111501,120,OTHER PART,PART,B/W MFP
1134,NUK857834,4CC DIGITAL ART GLOSS 150GSM A4 250,3099,4111401,210,OTHER SUPPLY,SUPPLY,B/W PRINTER
1135,NUK930778,RZ200EP A4 MASTERS PACK 2 S4250,3006,4111401,410,INK,SUPPLY,DIGITAL DUPLICATOR
1138,NUKAR287,SHARP AR287 COPIER,BW_01,4111101,110,B&W COPIER 1-19 CPM,MACHINE,ANALOGUE COPIER
1139,NUK9781467,PART UNKNOWN******,4099,4111501,120,OTHER PART,PART,B/W MFP
1140,NUK817137,CM6 FOR SILVER /SILVER V/PLATINUM /TITANIUM SERIES,3006,4111401,410,INK,SUPPLY,DIGITAL DUPLICATOR
1142,NUKAG2100,AGFA REPRO CAMERA 2100,OTHER,4111101,110,OTHER MACHINE,MACHINE,ANALOGUE COPIER
1143,NUKB/020009,AMBERSIL 40+,4099,4111501,120,OTHER PART,PART,B/W MFP
1145,NUK020614408,PLATEN GLASS TEMPLATE,3099,4111401,120,OTHER SUPPLY,SUPPLY,B/W MFP
1149,NUK4791183,LANIER PLEASE USE SR750,3099,4111401,120,OTHER SUPPLY,SUPPLY,B/W MFP
1153,NUK140900,140900 TOP INSERT CCM7000,3099,4111401,120,OTHER SUPPLY,SUPPLY,B/W MFP
1154,NUK253055,253055 RICOH 4P KEYCARD CABLE SET,3099,4111401,120,OTHER SUPPLY,SUPPLY,B/W MFP
1155,NUK355NP,HAMADA 355NP,BW_01,4111101,110,B&W COPIER 1-19 CPM,MACHINE,ANALOGUE COPIER
1156,NUK4810413,LANIER PLEASE USE DIF4510FW,3099,4111401,120,OTHER SUPPLY,SUPPLY,B/W MFP
1158,NUK761000,COLORIT ICE BLUE A4 80GSM 500 SHEETS,3099,4111401,210,OTHER SUPPLY,SUPPLY,B/W PRINTER
1159,NUK888145,LANIER PLEASE USE CT31MGT,3000,4111401,120,TONER,SUPPLY,B/W MFP
1165,NUKB390159,"H5505A HP 5500 SUPPORT PCK 60"" PLOT",3099,4111401,210,OTHER SUPPLY,SUPPLY,B/W PRINTER
1167,NUK260115,260115 PAYCON DOCUPRO MIFARE SVC,1099,4111201,120,OTHER OPTION,OPTION,B/W MFP
1168,NIEHT30231,RAPESCO STAPLER & REMOVER KIT,4099,4111501,120,OTHER PART,PART,B/W MFP
1169,NIEG282AO,WIDE FORMAT COPIER,BW_01,4111101,110,B&W COPIER 1-19 CPM,MACHINE,ANALOGUE COPIER
1170,NIEC13T044140,EPSON DURA BRITE STYLUS C64/84 BLK,4099,4111501,120,OTHER PART,PART,B/W MFP
1171,NIEKF3472,C6 WHT 90GM S/S,4099,4111501,120,OTHER PART,PART,B/W MFP
1174,NIEKF3536,MANILLA 16 X 12 ENVELOPES (250),4099,4111501,120,OTHER PART,PART,B/W MFP
1175,NIEKF3527,C4 MANILLA GUSSET PK 100,4099,4111501,120,OTHER PART,PART,B/W MFP
1176,NIEKF01044,STAPLER 1/2 STRIP,4099,4111501,120,OTHER PART,PART,B/W MFP
1177,NIEKF01229,"5"" SCISSORS",4099,4111501,120,OTHER PART,PART,B/W MFP
1178,NIE3M20190,TARTAN POST-IT NOTES,4099,4111501,120,OTHER PART,PART,B/W MFP
1179,NIEKFA41BG06,A4 DESK DAIRY - BURGANDY 2006,4099,4111501,120,OTHER PART,PART,B/W MFP
1180,NUKB390797,SMART LF STAND CX40C,4099,4111501,120,OTHER PART,PART,B/W MFP
1181,NIE3M93619,3M POSTIT FILING TAB ASSTD,4099,4111501,120,OTHER PART,PART,B/W MFP
1182,NIEKFA53BG06,A5 DESK DAIRY - BURGANDY 2006,4099,4111501,120,OTHER PART,PART,B/W MFP
1189,NIEHTCLD,RAPESCO CLIPS ASSORTED PKT 50,4099,4111501,120,OTHER PART,PART,B/W MFP
1193,NIE3M58654,LASER FILM CLEAR FOR HP,4099,4111501,120,OTHER PART,PART,B/W MFP
1194,NIEKF89361,QCONNECT LABELS 89 X 36 PKT 8000,4099,4111501,120,OTHER PART,PART,B/W MFP
1205,NUK768579,HPC92274A BLACK TONER,3099,4111401,210,OTHER SUPPLY,SUPPLY,B/W PRINTER
1206,NUK888498,LANIER PLEASE USE DT432CYN,3000,4111401,120,TONER,SUPPLY,B/W MFP
1209,NUKB0706880,HDD UNIT 40GB BELL C2 *ORDER 2**,4099,4111501,120,OTHER PART,PART,B/W MFP
1210,NUK2332ZD,2332ZD COPIER,BW_03,4111101,110,B&W COPIER 40-59 CPM,MACHINE,ANALOGUE COPIER
1213,NUK5812TOWER,5812 TOWER REF BILLING ONLY,4099,4111501,120,OTHER PART,PART,B/W MFP
1217,NUKAUDIT+FIELDDESK,NRG CONSULTING INFO,4099,4111501,120,OTHER PART,PART,B/W MFP
1218,NIE203459,PRINTING,4099,4111501,120,OTHER PART,PART,B/W MFP
1220,NUKB390673,"C4713A HP DESIGNJET 430 24"" PLOTTER",3099,4111401,210,OTHER SUPPLY,SUPPLY,B/W PRINTER
1223,NUKNEFAX 400,# NEC NEFAX 400 THERMAL FAX MACHINE,FP_TO,4111101,510,FAX PLAIN PAPER TONER PRINTING,MACHINE,FACSIMILE
1224,NUK6112,LANIER 6112 COPIER TOSHIBA 1210,BW_01,4111101,110,B&W COPIER 1-19 CPM,MACHINE,ANALOGUE COPIER
1227,NUKCOLORADO T1000,COLORADO T1000 INTERNAL TAPE DRIVE,4099,4111501,120,OTHER PART,PART,B/W MFP
1231,NUKCM7000,CM7000 PAYMATIC MULTI COIN 142115,4099,4111501,120,OTHER PART,PART,B/W MFP
1235,NUK4688-P2,TCP/IP PROTOCOL,4099,4111501,120,OTHER PART,PART,B/W MFP
1241,NUK5485,LANIER 5485 85PPM DIG COP DMR85,BW_04,4111101,120,B&W COPIER 60-89 CPM,MACHINE,B/W MFP
1242,NUKDPINET500EB,BANIAN VINES PRINT SERVER ADAM,4099,4111501,120,OTHER PART,PART,B/W MFP
1245,NUKF4430NFPDI,F4430NF FAX PDI,FP_TO,4111101,510,FAX PLAIN PAPER TONER PRINTING,MACHINE,FACSIMILE
1246,NUKCMR080,MODEL 2508 GESTETNER COPIER CMR080,BW_01,4111101,110,B&W COPIER 1-19 CPM,MACHINE,ANALOGUE COPIER
1249,NUKK250Z,KONICA K250Z COPIER,BW_02,4111101,110,B&W COPIER 20-39 CPM,MACHINE,ANALOGUE COPIER
1250,NUK770270,EPSON C1100 ACULASER YLW C135050187,3099,4111401,210,OTHER SUPPLY,SUPPLY,B/W PRINTER
1263,NUKC231-5890,REFER TO C264-5890,4099,4111501,120,OTHER PART,PART,B/W MFP
1267,NUKBRRDDP184,REX ROTARY RICOH PRINTING SVS PK25,4099,4111501,120,OTHER PART,PART,B/W MFP
1268,NUKPF11,PF11 PLAIN PAPER COPIER,BW_01,4111101,110,B&W COPIER 1-19 CPM,MACHINE,ANALOGUE COPIER
1277,NUKDF34,RICOH DF34,1005,4111201,110,DOCUMENT FEEDER,OPTION,ANALOGUE COPIER
1278,NUKDSC232,DSC232 COLOUR COPIER CCR101,CL_62,4111101,130,COLOR COPIER 20-39 CPM,MACHINE,B TO C MFP
1280,NUKFAX85,FAX 85,FP_TO,4111101,510,FAX PLAIN PAPER TONER PRINTING,MACHINE,FACSIMILE
10035,NUKR4027,RICOH R4027 COPIER 2627,BW_02,4111101,110,B&W COPIER 20-39 CPM,MACHINE,ANALOGUE COPIER
10037,NUKP391,NASHUATEC PLAIN PAPER FAX,FP_TO,4111101,510,FAX PLAIN PAPER TONER PRINTING,MACHINE,FACSIMILE
10050,NUKM3018,3018 COPIER (CMR181),BW_01,4111101,110,B&W COPIER 1-19 CPM,MACHINE,ANALOGUE COPIER
10066,NUKVB363,VB363 PUNCH/BINDER,BW_01,4111101,110,B&W COPIER 1-19 CPM,MACHINE,ANALOGUE COPIER
10105,NUKDIGME4,2 M/B MEMORY DIGML12/16A,4099,4111501,120,OTHER PART,PART,B/W MFP
10113,NUK953156,COMB BIND PUNCHING FOR COVERS,4099,4111501,120,OTHER PART,PART,B/W MFP
10119,NUKDMU11,PCU UNIT TYPE270 3227 2822 2827 D422,4099,4111501,120,OTHER PART,PART,B/W MFP
10120,NUKM7112,DRY COPIER 7112,BW_01,4111101,110,B&W COPIER 1-19 CPM,MACHINE,ANALOGUE COPIER
10143,NUK6545TBLK,rubbish toner,3000,4111401,120,TONER,SUPPLY,B/W MFP
10167,NUKRR8145DZ,RR8145DZ PPC COPIER,BW_04,4111101,110,B&W COPIER 60-89 CPM,MACHINE,ANALOGUE COPIER
10176,NUK973319,START KIT PPF/FCSO/P391/9660 FSKT30,4099,4111501,120,OTHER PART,PART,B/W MFP
10184,NUKM8112,8112 (240V) PHOTOCOPIER,BW_01,4111101,110,B&W COPIER 1-19 CPM,MACHINE,ANALOGUE COPIER
10185,NUKVB161,VB161 PUNCH/BINDER,BW_01,4111101,110,B&W COPIER 1-19 CPM,MACHINE,ANALOGUE COPIER
10210,NUK333174,CABINET FOR 8045/8145,4099,4111501,120,OTHER PART,PART,B/W MFP
10237,NUKCD110BLK,REFER TO A2199640,4099,4111501,120,OTHER PART,PART,B/W MFP
10267,NUK956482,WINDOW CUTTING 200 SHEETS,4099,4111501,120,OTHER PART,PART,B/W MFP
10284,NUK953221,OFFSET PRINTING 1 COLOUR 500 SHEETS,4099,4111501,120,OTHER PART,PART,B/W MFP
10302,NUKAFICIO551,RICOH AFICIO 55CPM COPIER DMR55A,BW_03,4111101,120,B&W COPIER 40-59 CPM,MACHINE,B/W MFP
10305,NUKFRA071511,**SEE BOX 31** REG SHEET PM10,4099,4111501,120,OTHER PART,PART,B/W MFP
10335,NUKDIGME6,8 M/B MEMORY DIGML12 / 16A,4099,4111501,120,OTHER PART,PART,B/W MFP
10336,NUK2513Z,GESTETNER 2513Z COPIER,BW_01,4111101,110,B&W COPIER 1-19 CPM,MACHINE,ANALOGUE COPIER
10365,NUKAP3800C,RICOH AP3800C COLOUR PRINTER DSC38,BW_01,4111101,110,B&W COPIER 1-19 CPM,MACHINE,ANALOGUE COPIER
10367,NUK918105,COPIER PARTS,4099,4111501,120,OTHER PART,PART,B/W MFP
10396,NUK956478,WINDOW CUTTING 1000 SHEETS,4099,4111501,120,OTHER PART,PART,B/W MFP
10398,NUKOP7125S,7125S OPERATING INST BOOKLET,4099,4111501,120,OTHER PART,PART,B/W MFP
10400,NUK956480,WINDOW CUTTING 400 SHEETS PER SHEET,4099,4111501,120,OTHER PART,PART,B/W MFP
10422,NUK953224,CLEAR COVERS COMB BIND PUNCHED PACK,4099,4111501,120,OTHER PART,PART,B/W MFP
10424,NUK925306,INSTALLATION CHARGE MACHINES,4099,4111501,120,OTHER PART,PART,B/W MFP
10473,NUKM3133,COPIER (CMR331),BW_03,4111101,110,B&W COPIER 40-59 CPM,MACHINE,ANALOGUE COPIER
10494,NUKRR1280,RR1280 COPYPRINTER,BW_01,4111101,110,B&W COPIER 1-19 CPM,MACHINE,ANALOGUE COPIER
10495,NUKCMR332,CMR332 2533ZD 3133LD 33cpm COPIER,BW_03,4111101,110,B&W COPIER 40-59 CPM,MACHINE,ANALOGUE COPIER
10499,NUKSC240,240 SORTER,4099,4111501,120,OTHER PART,PART,B/W MFP
10520,NUK5030CARDDISP,5030 CARD DISPENSER REVALUER,3099,4111401,110,OTHER SUPPLY,SUPPLY,ANALOGUE COPIER
10546,NUK2706DYLW,2706 C406 YELLOW DEV CD9YLW (K).,4099,4111501,120,OTHER PART,PART,B/W MFP
10568,NUKB/210021,OIL 100cc REFER TO 49925515,4099,4111501,120,OTHER PART,PART,B/W MFP
10593,NUKM3133LD,NASHUATEC 3133LD COPIER (CMR332),BW_03,4111101,110,B&W COPIER 40-59 CPM,MACHINE,ANALOGUE COPIER
10598,NUK4301762-05,REFER TO 9779218,4099,4111501,120,OTHER PART,PART,B/W MFP
10619,NUK953145,PRINTING BLOCKS AND HOT FOIL PROOFS,4099,4111501,120,OTHER PART,PART,B/W MFP
10624,NUKRR8651,rex rotary 51cpm cmr512,BW_04,4111101,110,B&W COPIER 60-89 CPM,MACHINE,ANALOGUE COPIER
10628,NUK922226,óREFER TO EB302,4099,4111501,120,OTHER PART,PART,B/W MFP
10639,NUKM3115,refer to cmr151a,BW_01,4111101,110,B&W COPIER 1-19 CPM,MACHINE,ANALOGUE COPIER
10659,NUKS512,S512 SORTER,4099,4111501,120,OTHER PART,PART,B/W MFP
10665,NUK953249,OFFSET PRINTING 2 COLOURS 500 SHEETS,4099,4111501,120,OTHER PART,PART,B/W MFP
10676,NUKAC016,AC016 DSM516PF MFP,BW_01,4111101,120,B&W COPIER 1-19 CPM,MACHINE,B/W MFP
10678,NUK72907510,REFER TO 72900220,4099,4111501,120,OTHER PART,PART,B/W MFP
10688,NUKR889761,REFER TO A1099670,4099,4111501,120,OTHER PART,PART,B/W MFP
10723,NUK956483,WINDOW CUTTING 250 SHEETS,4099,4111501,120,OTHER PART,PART,B/W MFP
10730,NUK29800072,**SEE BOX 66** PAD ASSY CASSETTE,4099,4111501,120,OTHER PART,PART,B/W MFP
10756,NUKS313,SORTER 3133/3133LD,4099,4111501,120,OTHER PART,PART,B/W MFP
10779,NUK0001504,REMANUFACTURED LR027,BW_01,4111101,110,B&W COPIER 1-19 CPM,MACHINE,ANALOGUE COPIER
10792,NUK9660,GESTETNER PLAIN PAPER FAX (fcso),FP_TO,4111101,510,FAX PLAIN PAPER TONER PRINTING,MACHINE,FACSIMILE
10805,NUKRDT32BLK,REX TONER CARTRIDGE P7026 400666,4099,4111501,120,OTHER PART,PART,B/W MFP
10806,NUKAFICIO1035,AFICIO 1035 RICOH 35CPM DIG COP,BW_02,4111101,120,B&W COPIER 20-39 CPM,MACHINE,B/W MFP
10808,NUK953272,HOT FOIL PRINTING MED SETTING 500 SH,4099,4111501,120,OTHER PART,PART,B/W MFP
10814,NUK887961,CD113MGT PDI USE ONLY,4099,4111501,120,OTHER PART,PART,B/W MFP
10820,NUK887955,CD113BLK PDI USE ONLY,4099,4111501,120,OTHER PART,PART,B/W MFP
10837,NUKDD4BLK,REFER TO A2929640,4099,4111501,120,OTHER PART,PART,B/W MFP
10845,NUK926256,2ND YEAR FULLY COMP M/A FOR T-51 ATT,4099,4111501,120,OTHER PART,PART,B/W MFP
10857,NUKVB170R,óREFER TO BMV170,4099,4111501,120,OTHER PART,PART,B/W MFP
10901,NUK956500,HOT FOIL PRINTING ON HARD COVERS,4099,4111501,120,OTHER PART,PART,B/W MFP
10902,NUK887958,CD113YLW PDI USE ONLY,4099,4111501,120,OTHER PART,PART,B/W MFP
10913,NUKLD127 AF,LD127 AF,BW_02,4111101,120,B&W COPIER 20-39 CPM,MACHINE,B/W MFP
10929,NUK953201,WINDOW CUTTING,4099,4111501,120,OTHER PART,PART,B/W MFP
10930,NUKNETWORK 3TO1 IN,3/ 2 /1 USER SYSTEM NETWORK INSTALLN,4099,4111501,120,OTHER PART,PART,B/W MFP
10961,NUK3522,NASHUATEC COPIER CMR221B,BW_02,4111101,110,B&W COPIER 20-39 CPM,MACHINE,ANALOGUE COPIER
10966,NUKVB170,óREFER TO BMV170,BW_01,4111101,110,B&W COPIER 1-19 CPM,MACHINE,ANALOGUE COPIER
10988,999699,SAMPLE BLACK TONER 3000sampl**,3000,4111401,140,TONER,SUPPLY,COLOUR MFP
10989,9000075,CMR271ACARIC COPIER 230/50JP**,OTHER,4111101,110,OTHER MACHINE,MACHINE,ANALOGUE COPIER
