ITEM_ID,EDP_CODE,DESCRIPTION,PROD_SUB_TYPE_CODE,PROD_TYPE_CODE,PROD_LINE_CODE,PROD_SUB_TYPE_DESC,PROD_TYPE_DESC,PROD_LINE_DESC
1287074,243112M-1220724,ATO model 243112M (DX4640PD),DD_H_A3,4111101,410,DIGITAL DUP A3 PRESS ROLLER DUPLEX,MACHINE,DIGITAL DUPLICATOR
1287075,402953M-1220726,ATO model 402953M (SP 8200DN),PB_05,4111101,210,PAGE PRINTER B&W CUT-SHEET 40-59 PPM,MACHINE,B/W PRINTER
1287076,414581M-1220780,ATO model 414581M (MP8000),BW_04,4111101,120,B&W COPIER 60-89 CPM,MACHINE,B/W MFP
1287077,402983M-1221248,ATO model 402983M (SP C420DN),PC_04,4111101,220,PAGE PRINTER COLOUR 30-39 PPM,MACHINE,COLOUR PRINTER
1287078,414584M-1221250,ATO model 414584M (MP8000SP),BW_04,4111101,120,B&W COPIER 60-89 CPM,MACHINE,B/W MFP
1287079,413337M-1223736,ATO model 413337M (NRG MPC4500AD),CL_63,4111101,130,COLOR COPIER 40-59 CPM,MACHINE,B TO C MFP
1287080,402953M-1223749,ATO model 402953M (SP 8200DN),PB_05,4111101,210,PAGE PRINTER B&W CUT-SHEET 40-59 PPM,MACHINE,B/W PRINTER
1287081,402981M-1223753,ATO model 402981M (SP C420DN),PC_04,4111101,220,PAGE PRINTER COLOUR 30-39 PPM,MACHINE,COLOUR PRINTER
1287082,412962M-1223755,ATO model 412962M (MP1100),BW_05,4111101,120,B&W COPIER 90+ CPM,MACHINE,B/W MFP
1287083,414584M-1223757,ATO model 414584M (MP8000SP),BW_04,4111101,120,B&W COPIER 60-89 CPM,MACHINE,B/W MFP
1287084,413659M-1223980,ATO model 413659M (MP161LN),BW_01,4111101,120,B&W COPIER 1-19 CPM,MACHINE,B/W MFP
1287085,414582M-1224084,ATO model 414582M (MP8000),BW_04,4111101,120,B&W COPIER 60-89 CPM,MACHINE,B/W MFP
1287086,402428M-1224234,ATO model 402428M (BP20N),PB_03,4111101,210,PAGE PRINTER B&W CUT-SHEET 20-29 PPM,MACHINE,B/W PRINTER
1287087,414583M-1224455,ATO model 414583M (MP8000SP),BW_04,4111101,120,B&W COPIER 60-89 CPM,MACHINE,B/W MFP
1287088,414580M-1224541,ATO model 414580M (MP7000SP),BW_04,4111101,120,B&W COPIER 60-89 CPM,MACHINE,B/W MFP
1287089,414584M-1224619,ATO model 414584M (MP8000SP),BW_04,4111101,120,B&W COPIER 60-89 CPM,MACHINE,B/W MFP
1287090,414578M-1224621,ATO model 414578M (MP7000),BW_04,4111101,120,B&W COPIER 60-89 CPM,MACHINE,B/W MFP
1287091,413962M-1224623,ATO model 413962 (NRG MPC7500),CL_64,4111101,140,COLOR COPIER 60-89 CPM,MACHINE,COLOUR MFP
1287092,413962M-1224627,ATO model 413962 (NRG MPC7500),CL_64,4111101,140,COLOR COPIER 60-89 CPM,MACHINE,COLOUR MFP
1287093,414580M-1224631,ATO model 414580M (MP7000SP),BW_04,4111101,120,B&W COPIER 60-89 CPM,MACHINE,B/W MFP
1287094,402953M-1226855,ATO model 402953M (SP 8200DN),PB_05,4111101,210,PAGE PRINTER B&W CUT-SHEET 40-59 PPM,MACHINE,B/W PRINTER
1287095,414584M-1226861,ATO model 414584M (MP8000SP),BW_04,4111101,120,B&W COPIER 60-89 CPM,MACHINE,B/W MFP
1287096,413337M-1227012,ATO model 413337M (NRG MPC4500AD),CL_63,4111101,130,COLOR COPIER 40-59 CPM,MACHINE,B TO C MFP
1287097,413587M-1227050,ATO model  413587M (MP1600SP),BW_01,4111101,120,B&W COPIER 1-19 CPM,MACHINE,B/W MFP
1287098,402981M-1227056,ATO model 402981M (SP C420DN),PC_04,4111101,220,PAGE PRINTER COLOUR 30-39 PPM,MACHINE,COLOUR PRINTER
1287099,414580M-1227618,ATO model 414580M (MP7000SP),BW_04,4111101,120,B&W COPIER 60-89 CPM,MACHINE,B/W MFP
1287100,413334M-1228277,ATO model 413334M (NRG MPC3500AD),CL_62,4111101,130,COLOR COPIER 20-39 CPM,MACHINE,B TO C MFP
1287101,413179M-1230552,ATO model 413179M (NRG MPC3000AD),CL_62,4111101,130,COLOR COPIER 20-39 CPM,MACHINE,B TO C MFP
1287102,413175M-1230554,ATO model 413175M (NRG MPC2500AD),CL_62,4111101,130,COLOR COPIER 20-39 CPM,MACHINE,B TO C MFP
1287103,413961M-1230634,ATO model 413961 (NRG MPC6000),CL_64,4111101,140,COLOR COPIER 60-89 CPM,MACHINE,COLOUR MFP
1287104,413175M-1230680,ATO model 413175M (NRG MPC2500AD),CL_62,4111101,130,COLOR COPIER 20-39 CPM,MACHINE,B TO C MFP
1287105,414583M-1231373,ATO model 414583M (MP8000SP),BW_04,4111101,120,B&W COPIER 60-89 CPM,MACHINE,B/W MFP
1287106,414584M-1231375,ATO model 414584M (MP8000SP),BW_04,4111101,120,B&W COPIER 60-89 CPM,MACHINE,B/W MFP
1287107,414200M-1231729,ATO model 414200M (NRG MP 2500LN),BW_02,4111101,120,B&W COPIER 20-39 CPM,MACHINE,B/W MFP
